用户1:你看过《三体》吗?,,,,
用户2:看过啊，这是我认为中国近代最受欢迎的科幻小说之一了，豆瓣上这本小说的评分高达9.4分。,"""三体"",""标签"",""科幻""","""三体"",""标签"",""小说""","""三体"",""信息"",""豆瓣评分9.4分""",
用户1:真是相见恨晚，你知道三体出版的具体年份吗?,,,,
用户2:记得呀，《三体》早在2012年1月1日就出版了，只是那时候我没想过刘慈欣的科幻小说能有这么好看。,"""三体"",""出版时间"",""2012年1月1日""","三体,""作者"",""刘慈欣""",,
用户1:说起大刘，我真的很喜欢他。他的很多作品都让人耳目一新。,"""刘慈欣"",""更多昵称"",""大刘""",,,
"用户2:他确实很了不起，作为亚洲第一个荣获""雨果奖""长篇小说奖的作家。他的作品《流浪地球》甚至还被拍成了科幻电影。","""刘慈欣"",""简介"",""中国当代科幻小说的主要代表作家，被誉为中国科幻文学的领军人物…亚洲第一个荣获“雨果奖”长篇小说奖的作家""","""刘慈欣"",""作品"",""流浪地球""","""流浪地球"",""标签"",""科幻""","""流浪地球"",""标签"",""小说"""
用户1:作为一个资深科幻迷，这些大师的作品真是令人神往，说起来你还知道哪些有名的科幻小说家吗？,,,,
用户2:说起这个，我的第一印象就是二十世纪三大科幻小说家之一的阿瑟·克拉克了。,"""阿瑟·克拉克"",""简介"",""亚瑟·查理斯·克拉克（1917－2008）是英国作家、发明家，与艾萨克·阿西莫夫、罗伯特·海因莱茵并称为二十世纪三大科幻小说家。其科幻作品多以科学为依据，小说里的许多预测都已成现实。尤其是他的卫星通讯的描写，与实际发展惊人的一致，地球同步卫星轨道因此命名为“克拉克轨道”。作品包括《童年的终结》（1953）、《月尘飘落》（1961）、《来自天穹的声音》（1965）、《帝国大地》（1976）和《2001》等。还与人合作拍摄富有创新的科学幻想片《2001年太空漫游》。""",,,
用户1:我不太熟悉国外的科幻作家，为什么这么推崇他呢？,,,,
用户2:阿瑟·克拉克可以说是那个年代科幻领域的传奇人物了，他的《太空漫游》系列简直可以被视作当时的科幻小说天花板。,"""阿瑟·克拉克"",""作品"",""太空漫游""","""太空漫游"",""标签"",""科幻""","太空漫游,""标签"",""小说""",
用户1:哈哈，那回头我一定要阅读一下。除了他的《太空漫游》系列之外，还有其他推荐的作品吗？,,,,
用户2:那真是太多了，《神的九十亿个名字》、《遥远地球之歌》都是他评价非常高的作品。,"""阿瑟·克拉克"",""作品"",""神的九十亿个名字""","阿瑟·克拉克,""作品"",""遥远地球之歌""",,
&三体,,,,
